Name,URL,Submit URL,Submission Type,Type,Category,Sport,Verified,Notes,URL Verified,Submit URL Verified
AdvertiseCast,https://advertisecast.com,https://advertisecast.com/PodcasterSignUp,Sponsorship Platform,Free,Monetization,All Sports,Yes,Connect with sponsors,Yes,Yes
Amazon Music for Podcasters,https://podcasters.amazon.com,https://podcasters.amazon.com,RSS Feed Submission,Free,Major Platform,All Sports,Yes,Submit RSS feed,Yes,Yes
Anchor (Spotify),https://anchor.fm,https://anchor.fm,Host and Distribute,Free,Hosting,All Sports,Yes,Free hosting with auto-distribution,Yes,Yes
AntennaPod,https://antennapod.org,N/A,RSS Auto-Index,Free,App,All Sports,Yes,Open source Android app,Yes,N/A
Apple Podcasts,https://podcasts.apple.com,https://podcastsconnect.apple.com,RSS Feed Submission,Free,Major Platform,All Sports,Yes,Submit RSS feed via Podcasts Connect,Yes,No
Audiomack,https://audiomack.com,https://audiomack.com/upload,Upload Platform,Free,Platform,All Sports,Yes,Music and podcast platform,Yes,Yes
Castbox,https://castbox.fm,https://castbox.fm/podcasters,RSS Auto-Index,Free,App,All Sports,Yes,"Auto-indexes, claim via app",Yes,Yes
Castro,https://castro.fm,N/A,RSS Auto-Index,Free,App,All Sports,Yes,Auto-indexes from Apple Podcasts,Yes,N/A
Curiocaster,https://curiocaster.com,N/A,RSS Auto-Index,Free,App,All Sports,Yes,Podcast 2.0 features,Yes,N/A
Deezer,https://deezer.com,https://podcasters.deezer.com/submission,RSS Feed Submission,Free,Platform,All Sports,Yes,Submit via Deezer Podcasters,Yes,No
Fountain,https://fountain.fm,N/A,RSS Auto-Index,Free,App,All Sports,Yes,Podcast 2.0 app with Bitcoin rewards,Yes,N/A
Fyyd,https://fyyd.de,N/A,RSS Auto-Index,Free,Directory,All Sports,Yes,German podcast directory,Yes,N/A
Gaana (India),https://gaana.com,https://gaana.com/podcast,Platform Submission,Free,International,All Sports,Yes,Indian music and podcast platform,Yes,Yes
Goodpods,https://goodpods.com,https://goodpods.com/claim-podcast,Claim Podcast,Free,Discovery,All Sports,Yes,"Social podcast discovery, auto-indexed",Yes,Yes
Google Podcasts Manager,https://podcastsmanager.google.com,https://podcastsmanager.google.com,RSS Feed Submission,Free,Major Platform,All Sports,Yes,Submit via Google Podcasts Manager,Yes,Yes
Gumball,https://gumball.fm,https://gumball.fm,Sponsorship Platform,Free,Monetization,All Sports,Yes,Podcast advertising marketplace,No,No
Himalaya,https://himalaya.com,https://himalaya.com,Upload Platform,Free,International,All Sports,Yes,Chinese audio platform,Yes,Yes
JioSaavn (India),https://jiosaavn.com,https://artists.jiosaavn.com,Platform Submission,Free,International,All Sports,Yes,Indian streaming service,Yes,Yes
Listen Notes,https://listennotes.com,https://www.listennotes.com/submit,RSS Feed Submission,Free,Directory,All Sports,Yes,Submit RSS feed,Yes,Yes
OP3 (Open Podcast Prefix),https://op3.dev,https://op3.dev,Analytics Platform,Free,Analytics,All Sports,Yes,Open-source podcast analytics,No,No
Overcast,https://overcast.fm,https://overcast.fm/podcasterinfo,RSS Auto-Index,Free,App,All Sports,Yes,Auto-indexes from Apple Podcasts,Yes,Yes
Owltail,https://owltail.com,N/A,RSS Auto-Index,Free,Discovery,All Sports,Yes,Podcast recommendation engine,Yes,N/A
Pandora,https://pandora.com,https://amp.pandora.com/podcast-submission,RSS Feed Submission,Free,Platform,All Sports,Yes,AMP podcast submission,Yes,Yes
Player FM,https://player.fm,https://player.fm/importer/feed,RSS Feed Import,Free,App,All Sports,Yes,Import RSS feed,Yes,Yes
Pocket Casts,https://pocketcasts.com,https://www.pocketcasts.com/submit,RSS Feed Submission,Free,App,All Sports,Yes,Submit RSS feed,Yes,Yes
Pod.link,https://pod.link,https://pod.link,Smart Link Creator,Free,Tool,All Sports,Yes,Smart podcast landing pages,Yes,Yes
Podbay,https://podbay.fm,N/A,RSS Auto-Index,Free,Directory,All Sports,Yes,Auto-indexes from major platforms,No,N/A
Podcast Addict,https://podcastaddict.com,https://podcastaddict.com/submit,RSS Feed Submission,Free,App,All Sports,Yes,Submit RSS feed,No,No
Podcast Guru,https://podcastguru.io,N/A,RSS Auto-Index,Free,App,All Sports,Yes,Android podcast app,Yes,N/A
Podcast Index,https://podcastindex.org,https://api.podcastindex.org,RSS Auto-Index,Free,Directory,All Sports,Yes,"Open directory, auto-indexes RSS",Yes,Yes
Podcast Republic,https://podcastrepublic.net,N/A,RSS Auto-Index,Free,App,All Sports,Yes,Auto-indexes podcasts,Yes,N/A
Podchaser,https://podchaser.com,https://www.podchaser.com/creators/claim,Claim Podcast,Free,Directory,All Sports,Yes,"Auto-indexed, claim your show",No,No
Podcorn,https://podcorn.com,https://podcorn.com/podcasters/sign-up,Sponsorship Platform,Free,Monetization,All Sports,Yes,Podcast sponsorship marketplace,Yes,No
Podfollow,https://podfollow.com,https://podfollow.com,Smart Link Creator,Free,Tool,All Sports,Yes,Universal podcast links,Yes,Yes
Podfriend,https://podfriend.com,N/A,RSS Auto-Index,Free,App,All Sports,Yes,Web-based podcast player,No,N/A
